Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,,,,Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,,STT,Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Distance
0,67,1,0,0.14,0,115.5,70,43.4,12.61,7.5,,,,0,1,1,0,0,0.222222222,0.272234892,0.557575758,0.174717369,0.450247389,0.33,,,,,,,,,,,,,,
1,77,1,0,0,0,245.2,87,64,12.71,7.5,,,,0,0.628099174,1,0,0,0.111111111,0.528221209,0.76969697,0.369989723,0.571742716,0.755,,,,,,,,,,,,,,
0,177,1,0,0.27,2,84.9,77,39.7,12.88,7.5,,,,0,0.615702479,1,0,0.048148148,0.111111111,0.41704675,0.806060606,0.324768756,0.557449148,0.655,,,,,,,,,,,,,,
0,89,1,1,2.03,2,163.5,80,72.3,13.74,7.5,,,,0,0.376033058,1,1,0.635185185,0.222222222,0.524515393,0.6,0.599177801,0.210005498,0.635,,,,,,,,,,,,,,
0,137,1,0,0,1,127,107,50,16.16,7.5,,,,0,0.326446281,1,0,0,0,0.301596351,0.666666667,0.082219938,0.120945574,0.655,,,,,,,,,,,,,,
0,115,1,0,0,2,184.1,98,60,16.35,7.5,,,,0,0.549586777,1,0,0.057407407,0.111111111,0.507411631,0.666666667,0.340184995,0.422759758,0.585,,,,,,,,,,,,,,
0,121,1,1,2.03,3,218.2,88,87.3,17.43,7.5,,,,0,0.314049587,1,1,0.505555556,0.111111111,0.425883694,0.448484848,0.50668037,0.340846619,0.505,,,,,,,,,,,,,,
0,145,1,0,0,1,199.2,124,45,6.3,7.6,,,,0,0.603305785,1,0,0,0.222222222,0.596921323,0.63030303,0.339157246,0.364485981,0.565,,,,,,,,,,,,,,
0,64,1,1,2.05,1,200.4,80,66.5,6.56,7.6,,,,0,0.301652893,1,0,0,0.111111111,0.49059293,0.636363636,0.349434738,0.582188015,0.58,,,,,,,,,,,,,,
0,212,1,0,0,1,126,96,34,7.22,7.6,,,,0,0.566115702,0,0,0,0.111111111,0.482611174,0.496969697,0.349434738,0.599230346,0.47,,,,,,,,,,,,,,
0,81,1,0,0.28,2,220.8,77,53.8,7.43,7.6,,,,0,0.58677686,1,0,0.077777778,0,0.339509692,0.709090909,0.361767729,0.791094008,0.61,,,,,,,,,,,,,,
0,48,1,0,0,2,171.9,98,43,7.95,7.6,,,,0,0.260330579,1,0,0,0.222222222,0.55359179,0.890909091,0.349434738,0.476635514,0.275,,,,,,,,,,,,,,
0,90,1,0,0,1,246.4,83,56,8.02,7.6,,,,0,0.491735537,1,0,0,0.222222222,0.566704675,0.339393939,0.411099692,0.632765256,0.495,,,,,,,,,,,,,,
0,141,1,1,2.05,3,149.7,112,60.5,8.13,7.6,,,,1,0.495867769,0,0,0,0.333333333,0.478050171,0.56969697,0.236382323,0.257833975,0.67,,,,,,,,,,,,,,
0,48,1,1,2.05,3,230.9,92,74.5,8.38,7.6,,,,0,0.359504132,1,0,0,0.222222222,0.576396807,0.521212121,0.400822199,0.595931831,0.59,,,,,,,,,,,,,,
0,44,1,0,0.32,1,143.2,77,42.2,8.49,7.6,,,,1,0.355371901,1,0,0,0.222222222,0.919327252,0.642424242,0.606372045,0.562396921,0.47,,,,,,,,,,,,,,
0,74,1,0,0,2,157.1,95,45,10.66,7.6,,,,0,0.409090909,1,0,0.055555556,0,0.616305587,0.648484848,0.462487153,0.592633315,0.51,,,,,,,,,,,,,,
0,143,1,0,0.2,1,155.5,101,47,10.67,7.6,,,,0,0.425619835,1,0,0,0.333333333,0.217787913,0.703030303,0.092497431,0.317757009,0.47,,,,,,,,,,,,,,
0,87,1,0,0,1,156.8,93,45,10.79,7.6,,,,0,0.107438017,1,0,0,0.111111111,0.207240593,0.454545455,0.174717369,0.573391974,0.495,,,,,,,,,,,,,,
0,80,1,0,0.24,2,203.7,92,56.4,10.82,7.6,,,,0,0.330578512,1,1,0.485185185,0,0.59977195,0.606060606,0.690647482,0.620120946,0.485,,,,,,,,,,,,,,
0,84,1,1,2.05,3,165.3,97,68.5,11.18,7.6,,,,0,0.260330579,0,1,0.405555556,0,0.362599772,0.563636364,0.451181912,0.448048378,0.405,,,,,,,,,,,,,,
0,119,1,0,0,3,230.4,117,59,11.25,7.6,,,,0,0.438016529,1,1,0.594444444,0.111111111,0.575256556,0.478787879,0.81294964,0.838372732,0.595,,,,,,,,,,,,,,
0,131,1,1,2.05,3,249.6,87,82.5,11.36,7.6,,,,0,0.359504132,1,1,0.805555556,0.111111111,0.625712657,0.472727273,0.889003083,0.610775151,0.805,,,,,,,,,,,,,,
0,101,1,0,0,3,209.6,107,56,11.44,7.6,,,,0,0.454545455,1,0,0,0.333333333,0.283067275,0.678787879,0.2672148,0.743815283,0.45,,,,,,,,,,,,,,
0,132,1,0,0.22,1,83.4,110,36.2,11.61,7.6,,,,0,0.314049587,1,0,0,0.555555556,0.681870011,0.690909091,0.411099692,0.412314458,0.515,,,,,,,,,,,,,,
0,180,1,1,2.05,1,231.8,78,80.5,11.65,7.6,,,,0,0.272727273,0,0,0,0.222222222,0.344640821,0.351515152,0.277492292,0.645959318,0.57,,,,,,,,,,,,,,
0,70,1,0,0,3,134.7,96,43,11.8,7.6,,,,0,0.417355372,1,0,0,0.111111111,0.640535918,0.490909091,0.369989723,0.35568994,0.79,,,,,,,,,,,,,,
0,119,1,1,2.05,3,117.8,66,62.5,12.84,7.6,,,,0,0.599173554,1,1,0.72962963,0.111111111,0.503420753,0.533333333,0.713257965,0.447498626,0.73,,,,,,,,,,,,,,
0,128,1,0,0,1,158.8,75,50,13.24,7.6,,,,0,0.590909091,1,1,0.5,0.111111111,0.809293044,0.593939394,0.801644399,0.527762507,0.5,,,,,,,,,,,,,,
0,77,1,0,0,2,233.8,104,63,13.33,7.6,,,,1,0.392561983,1,0,0,0.111111111,0.514823261,0.557575758,0.339157246,0.525013744,0.515,,,,,,,,,,,,,,
0,48,1,1,2.05,1,198,70,77.5,13.69,7.6,,,,0,0.285123967,1,1,0.514814815,0.111111111,0.358893957,0.612121212,0.542651593,0.539857064,0.515,,,,,,,,,,,,,,
0,27,1,0,0,3,177.6,121,56,14.84,7.6,,,,0,0.611570248,1,0,0,0,0.677309008,0.478787879,0.441932169,0.528862012,0.455,,,,,,,,,,,,,,
0,89,1,0,0,1,179.7,128,57,14.99,7.6,,,,0,0.52892562,1,0,0,0.222222222,0.565564424,0.551515152,0.441932169,0.727872457,0.46,,,,,,,,,,,,,,
0,96,1,0,0,2,98.2,100,43,15.36,7.6,,,,0,0.681818182,1,0,0,0,0.781927024,0.666666667,0.390544707,0.145684442,0.545,,,,,,,,,,,,,,
0,99,1,0,0,2,174.1,102,39,4.96,7.7,,,,1,0.55785124,0,0,0,0.333333333,0.568985177,0.539393939,0.390544707,0.58108851,0.55,,,,,,,,,,,,,,
0,47,1,1,2.08,2,165,89,59.8,6.37,7.7,,,,0,0.611570248,1,0,0,0.333333333,0.620581528,0.551515152,0.483042138,0.752061572,0.48,,,,,,,,,,,,,,
0,125,1,0,0.39,2,131.8,97,38.9,6.84,7.7,,,,0,0.285123967,1,0,0,0.333333333,0.383979475,0.581818182,0.298047276,0.648708081,0.38,,,,,,,,,,,,,,
0,149,1,0,0,2,196.3,108,45,6.84,7.7,,,,0,0.491735537,1,1,0.485185185,0.222222222,0.606328392,0.442424242,0.731757451,0.708081363,0.485,,,,,,,,,,,,,,
0,111,1,0,0.39,2,110.4,103,34.9,6.87,7.7,,,,0,0.268595041,1,0,0,0.222222222,0.730615735,0.818181818,0.462487153,0.495327103,0.31,,,,,,,,,,,,,,
0,107,1,0,0.47,3,212.1,95,53.7,7.51,7.7,,,,0,0.425619835,1,0,0.05,0.111111111,0.523375143,0.806060606,0.315519013,0.332050577,0.635,,,,,,,,,,,,,,
0,45,1,1,2.08,1,91.7,104,49.8,7.53,7.7,,,,0,0.657024793,1,0,0,0.111111111,0.502280502,0.545454545,0.339157246,0.538757559,0.46,,,,,,,,,,,,,,
0,102,1,0,0,3,200.6,106,48,7.63,7.7,,,,0,0.52892562,1,1,0.585185185,0.111111111,0.584378563,0.56969697,0.684480987,0.45464541,0.585,,,,,,,,,,,,,,
0,94,1,0,0.15,0,139.4,95,39.5,7.96,7.7,,,,1,0.380165289,1,0,0,0.333333333,0.76368301,0.690909091,0.524152107,0.612974162,0.565,,,,,,,,,,,,,,
0,83,1,0,0,2,134.8,96,38,8.36,7.7,,,,0,0.694214876,1,0,0,0.222222222,0.510832383,0.672727273,0.328879753,0.481583288,0.495,,,,,,,,,,,,,,
0,117,1,0,0,1,134.7,121,39,9,7.7,,,,0,0.23553719,1,0,0,0.111111111,0.425883694,0.878787879,0.298047276,0.540406817,0.745,,,,,,,,,,,,,,
0,156,1,0,0,1,237.7,122,56,9.08,7.7,,,,0,0.305785124,1,1,0.655555556,0.333333333,0.4663626,0.8,0.641315519,0.403518417,0.655,,,,,,,,,,,,,,
0,117,1,0,0,2,158.7,84,43,9.09,7.7,,,,0,0.181818182,1,0,0,0.111111111,0.591790194,0.43030303,0.35971223,0.420010995,0.62,,,,,,,,,,,,,,
0,143,1,1,2.08,1,141.4,130,60.8,9.32,7.7,,,,0,0.636363636,1,0,0,0.333333333,0.471493729,0.654545455,0.308324769,0.50522265,0.445,,,,,,,,,,,,,,
0,103,1,0,0,1,166.6,84,45,9.62,7.7,,,,0,0.210743802,1,0,0,0.444444444,0.598061574,0.690909091,0.380267215,0.471137988,0.495,,,,,,,,,,,,,,
0,99,1,1,2.08,3,244.1,71,79.8,10.17,7.7,,,,0,0.487603306,1,1,0.555555556,0,0.627423033,0.775757576,0.791366906,0.737218252,0.555,,,,,,,,,,,,,,
0,121,1,0,0.32,2,207.9,98,57.2,10.53,7.7,,,,0,0.351239669,1,0,0,0.111111111,0.402793615,0.436363636,0.246659815,0.424409016,0.41,,,,,,,,,,,,,,
0,85,1,0,0,0,212.3,107,56,11.42,7.7,,,,0,0.169421488,1,0,0,0,0.560148233,0.539393939,0.411099692,0.663551402,0.2,,,,,,,,,,,,,,
0,90,1,1,2.08,1,183.8,76,71.8,11.49,7.7,,,,0,0.520661157,0,0,0.048148148,0.222222222,0.515678449,0.690909091,0.38643371,0.576140737,0.37,,,,,,,,,,,,,,
0,151,1,0,0.24,4,156.4,108,49.4,11.67,7.7,,,,0,0.504132231,1,0,0,0,0.299315849,0.909090909,0.2672148,0.691588785,0.745,,,,,,,,,,,,,,
0,122,1,1,2.08,2,166,62,69.8,11.7,7.7,,,,1,0.400826446,1,0,0,0.444444444,0.773660205,0.721212121,0.503597122,0.523364486,0.555,,,,,,,,,,,,,,
1,76,1,0,0,0,272.7,97,67,11.82,7.7,,,,0,0.611570248,1,1,0.544444444,0.111111111,0.589224629,0.478787879,0.672147996,0.47993403,0.545,,,,,,,,,,,,,,
0,127,1,1,2.08,1,235.6,124,81.8,11.84,7.7,,,,0,0.657024793,1,0,0.033333333,0.111111111,0.475484607,0.660606061,0.378211716,0.648708081,0.465,,,,,,,,,,,,,,
0,117,1,1,2.08,3,104.9,115,59.8,11.88,7.7,,,,0,0.421487603,1,0,0,0.555555556,0.584093501,0.648484848,0.339157246,0.371632765,0.52,,,,,,,,,,,,,,
1,140,1,0,0,4,120.3,108,41,12.02,7.7,,,,0,0.541322314,1,1,0.455555556,0.111111111,0.440706956,0.775757576,0.602261048,0.675096207,0.455,,,,,,,,,,,,,,
0,123,1,0,0,3,206.9,85,56,12.24,7.7,,,,0,0.561983471,1,0,0,0.111111111,0.362029647,0.648484848,0.369989723,0.88840022,0.375,,,,,,,,,,,,,,
0,45,1,1,2.08,1,196.8,92,76.8,12.71,7.7,,,,0,0.52892562,0,0,0,0.111111111,0.762257697,0.472727273,0.503597122,0.561297416,0.295,,,,,,,,,,,,,,
0,120,1,1,2.08,0,239.4,94,83.8,12.97,7.7,,,,0,0.252066116,1,0,0,0.111111111,0.801026226,0.4,0.49331963,0.441451347,0,,,,,,,,,,,,,,
0,103,1,1,2.08,2,121,105,64.8,13.52,7.7,,,,0,0.5,1,1,0.590740741,0.444444444,0.771949829,0.581818182,0.852004111,0.605827378,0.59,,,,,,,,,,,,,,
0,173,1,0,0,1,109.4,103,28,5.07,7.8,,,,0,0.128099174,1,0,0,0.111111111,0.488027366,0.496969697,0.318602261,0.510170423,0.51,,,,,,,,,,,,,,
0,205,1,1,2.11,2,175.8,139,65.1,7.75,7.8,,,,0,0.351239669,1,0,0,0.333333333,0.353762828,0.496969697,0.256937307,0.556899395,0.335,,,,,,,,,,,,,,
0,88,1,0,0.26,3,144.3,116,40.6,7.82,7.8,,,,0,0.533057851,1,0,0.064814815,0.111111111,0.464082098,0.684848485,0.436793422,0.798240792,0.36,,,,,,,,,,,,,,
0,110,1,0,0,4,242.5,110,56,8.12,7.8,,,,0,0.169421488,1,0,0,0.111111111,0.41704675,0.509090909,0.339157246,0.703683342,0.4,,,,,,,,,,,,,,
0,147,1,0,0,1,205.3,95,50,8.34,7.8,,,,0,0.297520661,1,0,0,0.222222222,0.726339795,0.515151515,0.431654676,0.394172622,0.75,,,,,,,,,,,,,,
0,143,1,1,2.11,1,141.8,116,60.1,8.37,7.8,,,,0,0.268595041,1,1,0.27037037,0.222222222,0.726624857,0.654545455,0.663926002,0.668499175,0.27,,,,,,,,,,,,,,
0,47,1,1,2.11,1,141.3,94,60.1,8.4,7.8,,,,0,0.421487603,1,1,0.444444444,0,0.307012543,0.751515152,0.462487153,0.519516218,0.445,,,,,,,,,,,,,,
0,82,1,0,0,1,143.7,116,39,8.54,7.8,,,,0,0.524793388,1,0,0,0.111111111,0.45267959,0.454545455,0.369989723,0.727872457,0.38,,,,,,,,,,,,,,
0,98,1,0,0.16,1,171.7,99,46.6,8.74,7.8,,,,0,0.425619835,1,0,0.042592593,0.222222222,0.521379704,0.684848485,0.414182939,0.658603628,0.275,,,,,,,,,,,,,,
0,116,1,0,0.2,1,146.4,123,42,8.83,7.8,,,,0,0.421487603,1,0,0,0,0.565849487,0.678787879,0.246659815,0.117097306,0.62,,,,,,,,,,,,,,
0,100,1,0,0,2,142.5,87,41,9.79,7.8,,,,0,0.508264463,1,0,0,0,0.508551881,0.436363636,0.380267215,0.64211105,0.6,,,,,,,,,,,,,,
0,155,1,0,0.34,1,184.6,102,52.4,9.8,7.8,,,,0,0.355371901,1,0,0,0.111111111,0.31613455,0.551515152,0.195272354,0.435953821,0.31,,,,,,,,,,,,,,
0,66,1,0,0,1,146.4,107,42,9.83,7.8,,,,1,0.446280992,1,1,0.614814815,0.111111111,0.475769669,0.515151515,0.690647482,0.608026388,0.615,,,,,,,,,,,,,,
0,84,1,0,0,0,138.6,102,41,9.95,7.8,,,,0,0.685950413,0,0,0,0.222222222,0.697833523,0.551515152,0.339157246,0.167124794,0.535,,,,,,,,,,,,,,
0,47,1,1,2.11,2,163.5,77,67.1,10.16,7.8,,,,1,0.396694215,1,0,0,0.444444444,0.344355758,0.581818182,0.215827338,0.466739967,0.595,,,,,,,,,,,,,,
0,93,1,0,0,2,164.9,68,46,10.52,7.8,,,,0,0.433884298,1,0,0.046296296,0.222222222,0.471208666,0.715151515,0.354573484,0.577240242,0.425,,,,,,,,,,,,,,
0,117,1,0,0.22,1,201.9,86,55.2,10.62,7.8,,,,0,0.512396694,1,0,0,0.222222222,0.361174458,0.684848485,0.215827338,0.427707532,0.72,,,,,,,,,,,,,,
0,161,1,0,0,0,105.4,70,37,10.74,7.8,,,,0,0.44214876,1,1,0.775925926,0,0.615450399,0.642424242,0.841726619,0.551401869,0.775,,,,,,,,,,,,,,
0,87,1,1,2.11,0,262.8,114,85.1,10.79,7.8,,,,0,0.512396694,1,0,0.055555556,0.111111111,0.399372862,0.8,0.318602261,0.576140737,0.4,,,,,,,,,,,,,,
0,126,1,0,0,1,211.6,70,55,10.85,7.8,,,,0,0.363636364,1,1,0.435185185,0.111111111,0.598346636,0.684848485,0.683453237,0.686641012,0.435,,,,,,,,,,,,,,
0,103,1,0,0,2,190.9,62,52,11.33,7.8,,,,0,0.29338843,0,1,0.275925926,0,0.398517674,0.690909091,0.379239466,0.379879054,0.275,,,,,,,,,,,,,,
0,109,1,0,0.31,3,180,100,54.1,11.45,7.8,,,,1,0.090909091,1,0,0,0.222222222,0.916761688,0.648484848,0.647482014,0.691588785,0.565,,,,,,,,,,,,,,
1,161,1,0,0,2,322.3,100,75,11.52,7.8,,,,0,0.611570248,1,0,0,0.777777778,0.474914481,0.36969697,0.339157246,0.601429357,0.41,,,,,,,,,,,,,,
1,124,1,0,0,4,143.3,120,44,11.54,7.8,,,,0,0.297520661,1,0,0,0,0.610604333,0.545454545,0.411099692,0.54095657,0.295,,,,,,,,,,,,,,
0,58,1,0,0.29,2,243.1,105,63.9,11.57,7.8,,,,1,0.247933884,1,0,0,0.111111111,0.741163056,0.745454545,0.503597122,0.5788895,0.45,,,,,,,,,,,,,,
0,137,1,1,2.11,0,175.3,96,72.1,12.07,7.8,,,,1,0.661157025,1,0,0.02962963,0.444444444,0.547035348,0.684848485,0.273381295,0.195162177,0.67,,,,,,,,,,,,,,
0,146,1,1,2.11,1,202.5,91,76.1,12.07,7.8,,,,0,0.297520661,1,0,0,0,0.60718358,0.575757576,0.400822199,0.518966465,0.675,,,,,,,,,,,,,,
0,27,1,0,0,1,227.4,67,60,12.4,7.8,,,,0,0.483471074,1,1,0.844444444,0.111111111,0.336659065,0.503030303,0.633093525,0.301264431,0.845,,,,,,,,,,,,,,
0,123,1,1,2.11,1,124.7,105,64.1,12.52,7.8,,,,0,0.090909091,1,0,0,0.666666667,0.542189282,0.539393939,0.339157246,0.457394173,0.75,,,,,,,,,,,,,,
0,120,1,0,0,3,203.3,108,57,13,7.8,,,,0,0.520661157,1,1,0.255555556,0,0.234321551,0.575757576,0.285714286,0.449147883,0.255,,,,,,,,,,,,,,
0,52,1,0,0.32,3,191.9,108,59.2,13.49,7.8,,,,0,0.169421488,1,1,0.405555556,0,0.466932725,0.484848485,0.523124358,0.488730071,0.405,,,,,,,,,,,,,,
0,141,1,1,2.11,1,215.4,123,86.1,16.44,7.8,,,,1,0.483471074,1,0,0,0.555555556,0.763397948,0.878787879,0.606372045,0.869708631,0.72,,,,,,,,,,,,,,
0,152,1,1,2.13,1,214.6,108,66.3,4.83,7.9,,,,0,0.181818182,1,0,0,0.222222222,0.455530217,0.551515152,0.246659815,0.330951072,0.53,,,,,,,,,,,,,,
0,50,1,1,2.13,2,192.6,97,66.3,6.76,7.9,,,,0,0.202479339,1,1,0.52962963,0.111111111,0.610889396,0.781818182,0.78725591,0.796591534,0.53,,,,,,,,,,,,,,
0,138,1,1,2.13,0,19.5,149,37.3,7.05,7.9,,,,1,0.73553719,1,0,0,0,0.818985177,0.745454545,0.616649538,0.79164376,0.525,,,,,,,,,,,,,,
0,165,1,0,0,0,207.7,109,50,8.24,7.9,,,,0,0.623966942,1,0,0.040740741,0.222222222,0.288483466,0.739393939,0.18705036,0.389224849,0.375,,,,,,,,,,,,,,
0,80,1,0,0,1,124.3,100,36,8.65,7.9,,,,0,0.429752066,1,0,0,0.222222222,0.29304447,0.448484848,0.287769784,0.774601429,0.66,,,,,,,,,,,,,,
0,88,1,0,0,2,161.5,92,43,8.68,7.9,,,,0,0.29338843,1,0,0,0,0.311003421,0.587878788,0.154162384,0.318306762,0.415,,,,,,,,,,,,,,
1,88,1,0,0,5,131.5,99,38,8.74,7.9,,,,0,0.210743802,1,0,0,0.111111111,0.615450399,0.406060606,0.431654676,0.596481583,0.26,,,,,,,,,,,,,,
0,48,1,0,0.2,1,275.2,67,65,9.01,7.9,,,,0,0.512396694,1,0,0,0.111111111,0.57981756,0.666666667,0.328879753,0.354040682,0.55,,,,,,,,,,,,,,
1,111,1,0,0,4,172.8,58,45,9.16,7.9,,,,0,0.58677686,1,0,0.053703704,0.111111111,0.313854048,0.684848485,0.235354573,0.464540957,0.46,,,,,,,,,,,,,,
0,118,1,0,0,0,140.4,112,40,9.36,7.9,,,,0,0.26446281,1,0,0,0.111111111,0.316419612,0.309090909,0.246659815,0.60417812,0.22,,,,,,,,,,,,,,
1,146,1,0,0,7,149.3,83,42,9.36,7.9,,,,0,0.326446281,1,0,0,0.111111111,0.68386545,0.733333333,0.400822199,0.391423859,0.465,,,,,,,,,,,,,,
0,150,1,0,0,1,214,117,53,9.62,7.9,,,,0,0,1,0,0,0.111111111,0.41277081,0.648484848,0.215827338,0.30951072,0.69,,,,,,,,,,,,,,
1,148,1,0,0,2,279.3,104,65,10.08,7.9,,,,0,0.243801653,1,0,0,0.111111111,0.385974914,0.812121212,0.277492292,0.56624519,0.395,,,,,,,,,,,,,,
0,60,1,0,0,1,135.4,134,41,10.3,7.9,,,,0,0.173553719,1,0,0,0.111111111,0.240022805,0.812121212,0.082219938,0.222100055,0.54,,,,,,,,,,,,,,
1,78,1,0,0,1,108.6,108,37,10.5,7.9,,,,0,0.58677686,1,0,0,0,0.596066135,0.76969697,0.318602261,0.291918637,0.7,,,,,,,,,,,,,,
0,116,1,0,0,2,110.9,54,37,10.67,7.9,,,,0,0.330578512,1,1,0.57037037,0,0.370866591,0.709090909,0.57348407,0.538757559,0.57,,,,,,,,,,,,,,
0,157,1,0,0,1,196,74,52,10.67,7.9,,,,0,0.842975207,1,1,0.390740741,0.222222222,0.501140251,0.842424242,0.525179856,0.426058274,0.39,,,,,,,,,,,,,,
1,99,1,0,0,3,256.4,44,62,10.73,7.9,,,,0,0.095041322,1,0,0,0.111111111,0.689566705,0.63030303,0.411099692,0.399120396,0.33,,,,,,,,,,,,,,
0,45,1,1,2.13,2,135.8,104,63.3,11.13,7.9,,,,0,0.301652893,1,0,0,0,0.38968073,0.642424242,0.298047276,0.628367235,0.49,,,,,,,,,,,,,,
0,53,1,0,0,2,145.1,116,45,11.69,7.9,,,,0,0.314049587,1,0,0,0.111111111,0.192987457,0.412121212,0.154162384,0.538207806,0.6,,,,,,,,,,,,,,
0,94,1,0,0,1,174,85,51,12.06,7.9,,,,0,0.301652893,1,0,0,0.111111111,0.571265678,0.527272727,0.483042138,0.849917537,0.5,,,,,,,,,,,,,,
0,108,1,0,0,1,103,129,39,12.12,7.9,,,,1,0.301652893,0,0,0,0.111111111,0.358608894,0.624242424,0.2672148,0.571192963,0.705,,,,,,,,,,,,,,
0,128,1,0,0,0,179.4,94,54,13.52,7.9,,,,0,0.82231405,1,0,0,0.111111111,0.365450399,0.527272727,0.205549846,0.366135239,0.56,,,,,,,,,,,,,,
0,116,1,0,0.24,3,192.1,98,62.4,15.65,7.9,,,,0,0.351239669,1,0,0,0.444444444,0.645096921,0.533333333,0.452209661,0.612974162,0.65,,,,,,,,,,,,,,
0,110,1,0,0.33,1,208,69,47.3,4.76,8,,,,0,0.371900826,1,1,0.459259259,0,0.462656784,0.648484848,0.604316547,0.643210555,0.46,,,,,,,,,,,,,,
0,125,1,0,0,0,224.9,102,51,7.19,8,,,,0,0.309917355,1,0,0,0.222222222,0.63968073,0.733333333,0.380267215,0.406816932,0.335,,,,,,,,,,,,,,
0,137,1,0,0.29,2,141.1,91,39.9,7.36,8,,,,0,0.533057851,1,0,0,0.111111111,0.34350057,0.76969697,0.236382323,0.521715228,0.715,,,,,,,,,,,,,,
0,147,1,0,0,3,248.6,83,55,7.45,8,,,,0,0.227272727,1,0,0.059259259,0.222222222,0.259692132,0.545454545,0.207605344,0.493128092,0.595,,,,,,,,,,,,,,
1,94,1,0,0,4,157.9,105,41,7.75,8,,,,0,0.479338843,1,0,0,0,0.481185861,0.83030303,0.369989723,0.663551402,0.775,,,,,,,,,,,,,,
0,177,1,0,0,1,227.8,81,53,8.09,8,,,,0,0.256198347,1,0,0.066666667,0.222222222,0.437571266,0.490909091,0.417266187,0.789994502,0.325,,,,,,,,,,,,,,
1,98,1,1,2.16,6,168,81,64.6,8.16,8,,,,0,0.516528926,1,0,0,0,0.644811859,0.533333333,0.380267215,0.385926333,0.32,,,,,,,,,,,,,,
1,126,1,0,0,1,321.3,99,69,8.4,8,,,,0,0.541322314,1,0,0.057407407,0.111111111,0.547035348,0.648484848,0.412127441,0.568993953,0.63,,,,,,,,,,,,,,
0,88,1,0,0,1,218.2,76,52,8.47,8,,,,1,0.330578512,1,1,0.459259259,0.444444444,0.478620296,0.890909091,0.57348407,0.524463991,0.46,,,,,,,,,,,,,,
0,93,1,1,2.16,2,178.7,134,67.6,8.93,8,,,,0,0.5,1,0,0,0.222222222,0.513112885,0.533333333,0.298047276,0.398570643,0.575,,,,,,,,,,,,,,
0,141,1,1,2.16,4,185.4,87,68.6,8.93,8,,,,1,0.185950413,1,0,0,0.222222222,0.733751425,0.406060606,0.534429599,0.71797691,0.67,,,,,,,,,,,,,,
0,141,1,0,0,1,126.9,98,37,9,8,,,,0,0.615702479,1,1,0.55,0.111111111,0.497149373,0.454545455,0.623843782,0.46728972,0.55,,,,,,,,,,,,,,
0,132,1,0,0,3,240.1,115,57,9.02,8,,,,0,0.404958678,1,0,0,0.111111111,0.455245154,0.503030303,0.277492292,0.427157779,0.42,,,,,,,,,,,,,,
0,72,1,0,0,1,177.1,97,46,9.24,8,,,,0,0.355371901,1,0,0,0.111111111,0.676168757,0.751515152,0.472764645,0.611874656,0.55,,,,,,,,,,,,,,
0,92,1,1,2.16,3,155.4,110,64.6,9.43,8,,,,0,0.44214876,1,0,0,0.111111111,0.293614595,0.781818182,0.256937307,0.666300165,0.395,,,,,,,,,,,,,,
0,182,1,0,0.36,2,104.9,111,38.6,9.93,8,,,,0,0.41322314,1,0,0,0.444444444,0.438426454,0.539393939,0.339157246,0.643210555,0.58,,,,,,,,,,,,,,
0,48,1,1,2.16,1,172,111,68.6,10.01,8,,,,0,0.214876033,1,0,0.040740741,0.333333333,0.584663626,0.521212121,0.382322713,0.441451347,0.535,,,,,,,,,,,,,,
0,125,1,0,0.3,1,140.1,132,45,10.48,8,,,,0,0.541322314,1,1,0.42962963,0.222222222,0.500855188,0.563636364,0.567317575,0.514568444,0.43,,,,,,,,,,,,,,
0,76,1,0,0,0,186.1,96,50,10.58,8,,,,0,0.648760331,1,0,0,0.222222222,0.444412771,0.745454545,0.328879753,0.616272677,0.43,,,,,,,,,,,,,,
1,81,1,0,0,1,261.4,141,63,10.79,8,,,,0,0.466942149,1,1,0.514814815,0,0.44013683,0.660606061,0.614594039,0.608576141,0.515,,,,,,,,,,,,,,
0,65,1,0,0,1,207.7,109,54,10.88,8,,,,0,0.314049587,1,1,0.355555556,0.222222222,0.597776511,0.442424242,0.587872559,0.504672897,0.355,,,,,,,,,,,,,,
0,199,1,1,2.16,0,230.6,121,79.6,10.97,8,,,,0,0.590909091,0,0,0.05,0,0.427594071,0.418181818,0.397738952,0.786146234,0.47,,,,,,,,,,,,,,
0,119,1,1,2.16,2,217.1,92,77.6,11.04,8,,,,0,0.371900826,1,1,0.614814815,0.333333333,0.662485747,0.587878788,0.77286742,0.511269929,0.615,,,,,,,,,,,,,,
0,49,1,1,2.16,3,214.4,78,78.6,11.76,8,,,,0,0.23553719,1,0,0,0.222222222,0.471493729,0.606060606,0.246659815,0.318306762,0.64,,,,,,,,,,,,,,
0,100,1,1,2.16,0,221.7,100,79.6,11.81,8,,,,0,0.016528926,1,0,0,0.333333333,0.567844926,0.642424242,0.369989723,0.515118197,0.665,,,,,,,,,,,,,,
0,43,1,0,0.35,0,179.3,97,55.5,12.64,8,,,,0,0.396694215,1,0,0.053703704,0,0.620296465,0.490909091,0.553956835,0.881253436,0.21,,,,,,,,,,,,,,
